name,city,district,traffic,longitude,latitude
MONCEAU,Paris,17,1654418,48.8806306676395,2.30896624223491
CHATEAU-LANDON,Paris,10,1644923,48.8783126784077,2.36229890860251
PORTE DE CHARENTON,Paris,12,1642061,48.8325258939597,2.39970109937032
PONT MARIE,Paris,4,1624879,48.8533107454827,2.35745881597611
EUROPE,Paris,8,1619580,48.8787098768874,2.32282484061213
PONT NEUF,Paris,4,1614109,48.8584022524727,2.34194923634659
SEGUR,Paris,15,1604694,48.8467524550776,2.30782041849586
SULLY-MORLAND,Paris,4,1575223,48.8510338403896,2.36186696356924
VARENNE,Paris,7,1538258,48.8575166012889,2.31553023354222
FRONT POPULAIRE,Saint Denis / Aubervilliers,,1486925,48.9065795187205,2.36587539174522
CHEMIN VERT,Paris,11,1483745,48.8575640614859,2.36793452563335
AVENUE EMILE ZOLA,Paris,15,1476223,48.8469642745973,2.29493807524416
MIRABEAU,Paris,16,1420987,48.8473396417237,2.27340595925819
PICPUS,Paris,12,1405460,48.8452604478542,2.40125516453104
PIERRE CURIE,Ivry,,1404039,48.8156836605119,2.3772866229916
RENNES,Paris,6,1297127,48.8480544328681,2.32808305123987
SAINT-GEORGES,Paris,9,1279016,48.8785085363002,2.33758851215148
KLEBER,Paris,16,1260051,48.8710948130145,2.29307915421584
TEMPLE,Paris,2,1207453,48.8663687823143,2.36108072227889
ASSEMBLEE NATIONALE,Paris,7,1138571,48.8608996856827,2.32063223779825
CAMPO-FORMIO,Paris,13,1120960,48.8357759721732,2.35815314107711
QUAI DE LA RAPEE,Paris,12,986508,48.8457951983436,2.36703563413483
VANEAU,Paris,7,964320,48.848871662506,2.32193434751113
BOTZARIS,Paris,19,951182,48.8793377265439,2.38873399145736
FALGUIERE,Paris,15,930847,48.844637894177,2.31749646866691
SAINT-FARGEAU,Paris,8,884413,48.871951099492,2.40485763553065
PORTE D'AUTEUIL,Paris,16,687237,48.8480737822692,2.25864782764785
CHARDON-LAGACHE,Paris,16,651234,48.8447174018404,2.26654168725371
BOLIVAR,Paris,19,646310,48.8805834299155,2.37397783298056
DANUBE,Paris,19,600883,48.8820231366362,2.39270205235331
BUTTES-CHAUMONT,Paris,19,507867,48.8777769835483,2.38112931956877
PELLEPORT,Paris,20,386605,48.868519874537,2.40135199013901
PRE-SAINT-GERVAIS,Paris,19,365930,48.8799349564117,2.39907689689178
EGLISE D'AUTEUIL,Paris,16,183783,48.8471813581933,2.26890098784783
